"","DayOfYear","Tmean","daily_thermal_time","cumul_thermal_time","cumul_thermal_time_dormancy","cumul_vern_days","vern_fac","Berry_thermal_time","sum_daily_thermal_time","days_since_bud_burst","Matdtt","FFulindex","iStage","Vcarbo","Pcarb","Vreserve","aeration_stress","soil_water_stress1","soil_water_stress2","Cpool","vcarbo_limits_swdf","vcarbo_limits_air","vcarbo_limits_salt","shoot_num","berry_num_shoot","berry_num_vine","BerryDw","SugarDw","FruitDw","BerryStage","Brix","FruitSink","VLeafwt","VStemwt","VRootwt","root_growth","stem_growth","leaf_growth","LAI","LatNo","shoot_sqm","VineEop","Tru","total_soil_water","rain","ponding","irrigation","drainage","root_uptake","evap","Pesw","water_table","ATheta","soil_water_deficit","soil_water","infiltration","runoff","salt_stress1","salt_stress2"
"795",2021-03-05,27,18.513401,2130.6014875,30.1381843711516,29.41094,0.43230814315,13.513401,7865.16162175,159,2134.0404436653,0.617417243010328,5,2.09626290926022,15.0955620834761,797.33456381217,0.999422526281622,0.138866177487449,0.0930403412341705,26.6017551192731,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.294735345826156,0.189525123244906,2539.33363491366,3,17.9472301180757,61.1239630096761,215.137136531781,522.094587734955,294.519241688796,0.0223635239583148,0,0.0551473956939405,0.222464043097946,2.90723133087158,31.5517046974858,0.0520018159932304,0.00505490530048541,59.8561516403251,0,0,-3.5527136788005e-15,0.00099999999999989,0.00505490530048541,0.0262079942989546,13.5811516403251,143.321762401555,0.288803187026575,6.80970948422054,0.0953445174438222,-3.5527136788005e-16,0,1,1
"796",2021-03-06,19.7,12.2,2142.8014875,30.1381843711516,29.41094,0.43230814315,7.2,7877.36162175,160,2146.2404436653,0.617417243010328,5,3.41202615236582,14.4770076866379,767.692566090285,0.999422643999983,0.235685863487434,0.157909532470013,50.0914586593322,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.297759345774658,0.192549123193408,2565.38732982997,3,18.1525028761428,32.5671186453852,215.192283927475,522.094587734955,294.541605212755,0.0223635239583148,0,0.0551473956939405,0.222661805275127,2.90723133087158,31.5517046974858,0.0305544143663055,0.00504087038744739,59.8323347891697,0,0,0,0.00099999999999989,0.00504087038744739,0.0177759807678923,13.5573347891697,143.533420506927,0.2857967544731,6.83849607592006,0.093191700994911,0,0,1,1
"797",2021-03-07,18,10.5,2153.3014875,30.1381843711516,29.41094,0.43230814315,5.5,7887.86162175,161,2156.7404436653,0.617417243010328,5,3.70038089320961,14.7092188674095,745.92810940754,0.999422762225178,0.251568823022619,0.168551115623663,55.0047999262827,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.300069345735319,0.194859123154069,2585.28945789104,3,18.3087502324335,24.877660076336,215.247431323169,522.094587734955,294.563968736713,0.0223635239583148,0,0.0551473956939405,0.222859567452309,2.90723133087158,31.5517046974858,0.0285463537092847,0.00502696073735385,59.8106316514143,0,0,0,0.00099999999999989,0.00502696073735385,0.0156761770181334,13.5356316514143,143.744478184893,0.283671907461638,6.85884148605481,0.091429502707569,0,0,1,1
"798",2021-03-08,19.8,12.3,2165.6014875,30.1381843711516,29.41094,0.43230814315,7.3,7900.16162175,162,2169.0404436653,0.617417243010328,5,2.95739193898924,14.9969244371182,715.320307240666,0.999422880968025,0.197199894772708,0.132123932788843,43.9850087738799,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.303135345683105,0.197925123101855,2611.70500968119,3,18.5154078296306,33.0194397376823,213.543084358352,522.094587734955,294.586332260671,0.0223635239583148,0,0.0551473956939405,0.216747667476018,2.90723133087158,31.5517046974858,0.0363168405749591,0.00501317391252756,59.7888241502398,0,0,0,0.00099999999999989,0.00501317391252756,0.0157943272619026,13.5138241502398,143.954943115484,0.281767304556489,6.87707805887162,0.0896152302560683,0,0,1,1
"799",2021-03-09,22.85,15.577855,2181.1793425,30.1381843711516,29.41094,0.43230814315,10.577855,7915.73947675,163,2184.6182986653,0.617417243010328,5,2.46953242836873,14.4562282241991,670.03470348564,0.99942300021204,0.170828271450973,0.114454944723156,26.2464269690409,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.307578044707446,0.202367822126196,2649.98170510326,3,18.8134398929328,47.8458692775947,204.743925309498,522.094587734955,294.60869578463,0.0223635239583148,0,0.0551473956939405,0.185193306132792,2.90723133087158,31.5517046974858,0.0418089695139919,0.00499950771011406,59.7673086079146,0,0,-3.5527136788005e-15,0.00099999999999989,0.00499950771011406,0.0155160346150646,13.4923086079146,144.164822806148,0.279851291966606,6.89542387941974,0.0878290351246637,-3.5527136788005e-16,0,1,1
"800",2021-03-10,22.6,15.1,2196.2793425,30.1381843711516,29.41094,0.43230814315,10.1,7930.83947675,164,2199.7182986653,0.617417243010328,5,2.90276187239715,12.5846098365047,627.382445969756,0.999423119986494,0.230659666148451,0.154541980169011,24.3512128326803,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.311820044635206,0.206609822053956,2686.52924936086,3,19.0965023195991,45.6844303219988,204.799072705192,522.094587734955,294.631059308588,0.0223635239583148,0,0.0551473956939405,0.185391068309973,2.90723133087158,31.5517046974858,0.0308801271431054,0.0049859597873049,59.7474456000152,0,0,0,0.00099999999999989,0.0049859597873049,0.0138770481121242,13.4724456000152,144.374124596499,0.277965260289315,6.9134826327298,0.0863438851433598,0,0,1,1
"801",2021-03-11,24.3,16.1931665,2212.472509,30.1381843711516,29.41094,0.43230814315,11.1931665,7947.03264325,165,2215.9114651653,0.617417243010328,5,2.57867542090025,12.6436405349487,579.577584344812,0.999423240302645,0.203950385508103,0.136646761694219,14.9333829720317,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.316500135289602,0.211289912708352,2726.85122560651,4,19.408040781593,50.4024703070545,200.303121536941,522.094587734955,294.653422832546,0.0223635239583148,0,0.0551473956939405,0.169268292604157,2.90723133087158,31.5517046974858,0.0348300952683508,0.00497252786540324,59.7282560900098,0,0,0,0.00099999999999989,0.00497252786540324,0.0132169821400141,13.4532560900098,144.582855662921,0.276251305521546,6.9298937496312,0.0849647930393652,0,0,1,1
"802",2021-03-12,27,14.027333,2226.499842,30.1381843711516,29.41094,0.43230814315,9.027333,7961.05997625,166,2229.9387981653,0.617417243010328,5,2.37501791834893,9.00703760374292,543.096346365272,0.999423361144062,0.263684686422759,0.176668744303962,21.4765204549411,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.320097468116051,0.214887245534801,2757.84455019937,4,19.6538326350853,38.7416557410808,200.358268932635,522.094587734955,294.675786356504,0.0223635239583148,0,0.0551473956939405,0.169466054781338,2.90723133087158,31.5517046974858,0.0268676417567618,0.0049592098996307,59.7106921491758,0,0,0,0.00099999999999989,0.0049592098996307,0.0116047309343378,13.4356921491758,144.791023023034,0.274607177837518,6.94563627220577,0.0838829619980602,0,0,1,1
"803",2021-03-13,21.3,13.8,2240.299842,30.1381843711516,29.41094,0.43230814315,8.8,7974.85997625,167,2243.7387981653,0.617417243010328,5,2.59172289300129,9.82887134256748,510.094779338953,0.999423482481512,0.263684686422759,0.176668744303962,21.3080676102081,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.323467943230531,0.218257720649281,2786.88335041469,4,19.8893743159218,36.2985002691472,194.713071965909,522.094587734955,294.698149880463,0.0223635239583148,0,0.0551473956939405,0.149222008281807,2.90723133087158,31.5517046974858,0.01594392488076,0.0111607472264656,60.2244141611861,6.8,0,-1.77635683940025e-15,0.00099999999999989,0.0111607472264656,0.154117240763225,13.9494141611861,144.998633540019,0.273132309774841,6.95975813390589,0.188250152094033,0.68,0,1,1
"804",2021-03-14,16.8,9.3,2249.599842,30.1381843711516,29.41094,0.43230814315,4.3,7984.15997625,168,2253.0387981653,0.617417243010328,5,2.47868069708014,9.40016918347838,495.553167991963,0.99942360435094,0.263684686422759,0.176668744303962,36.4678665869049,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.325051071691409,0.219840849110159,2800.52301530737,4,20.002717921389,17.0495811158576,190.900563126453,522.094587734955,294.720513404421,0.0223635239583148,0,0.0551473956939405,0.135550101582938,2.90723133087158,31.5517046974858,0.0119682691385628,0.0083777882543211,60.1073394402953,0,0,0,0.00099999999999989,0.0083777882543211,0.107696932636537,13.8323394402953,145.205693926912,0.327143712271296,6.44259895500234,0.166570248567148,0,0,1,1
